,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
96e52ac7-0bb2-48be-9a52-138e74737b05,27828,54,-451,1030,7700,-45900,76800,212,286,-470,1125.71,23.8,-83.17
bbb45658-a77d-47ab-a17d-48a50e4c95be,27847,-122,-473,1998,52200,-361900,290700,180,154,-540,2056.85,13.74,-104.46
11c38be9-e5df-43c4-9d08-a8b0bcaa6cea,27866,175,-1561,1998,605300,346200,95500,-352,168,-404,2541.53,38.17,-83.6
f36dd4d7-2546-49b1-9a65-29df4606886e,27884,809,-1533,207,364500,299600,327300,-337,-148,190,1745.69,83.19,-62.18
0dda1abc-3818-488b-b402-5d8a23d3f392,27903,-24,1187,73,-83000,-37000,-86500,-163,-316,187,1189.48,86.48,91.16
ada1a610-3f68-410e-841a-8afd8791ab10,27922,589,663,-463,-3200,27500,4200,-127,-325,196,1000.43,117.57,48.38
962d7946-17f9-4eee-a7f8-511d4e6570af,27947,-1067,-1998,1998,-738300,-236600,-362000,-493,229,-162,3020.35,48.58,-118.1
8ff07c96-8a5b-43f5-a332-1c6d65855205,27966,-1622,-281,1998,-216500,-45900,-108900,15,319,-497,2588.79,39.49,-170.17
51c84248-d7c4-4f5b-9931-7b03f6e54bec,27978,-645,-468,1120,27700,90900,-51500,122,324,-483,1374.57,35.43,-144.04
a048d369-4e79-4b2b-ab3a-5ba5577f75be,28003,-160,-640,788,6200,8400,-5100,98,342,-477,1027.69,39.94,-104.04
578dbf67-8186-430f-b23a-21f3e3bce801,28022,-258,-583,732,2300,-5000,-11800,98,325,-476,970.71,41.05,-113.87
f7ec58c5-b7e5-4bea-b4af-25b767df90a3,28041,-163,-584,792,-32400,-56200,6000,123,316,-485,997.44,37.44,-105.59
f8f9557b-3ae6-4a62-9751-8b410f76fffa,28059,-159,162,1998,-83700,-711600,527800,119,108,-554,2010.85,6.48,134.46
b4328324-32c0-40bf-b5ec-3fa149f9c043,28078,1997,-1998,-1997,265600,155000,78100,-510,39,-132,3459.48,125.26,-45.01
6312a334-f3c1-48d9-9663-8342b62eb3a0,28097,-1569,-442,1998,-598200,-154600,-268100,-75,156,-558,2578.59,39.21,-164.27
dd36182d-2d29-42f9-9117-5c9d77b3731a,28122,316,-1998,905,481000,-16300,113800,-468,69,-270,2216.05,65.9,-81.01
9339dc20-760e-4013-8b87-6f8bca532bc4,28141,249,732,944,-195500,-48400,18700,-495,-6,-177,1220.23,39.32,71.21
74aeaec3-55f9-40cb-a51e-a9c58c8a3839,28159,21,598,653,-33900,-38500,-11500,-492,17,-230,885.69,42.5,87.99
5d368b63-2c54-4244-a31d-57d2e4ad288e,28178,260,700,846,-2800,-8700,-6000,-475,20,-239,1128.41,41.43,69.62
c07cbde5-1294-4159-967c-f822791a04f3,28197,166,652,800,-36600,-47800,7700,-474,0,-255,1045.3,40.06,75.72
856e83c4-7ba0-40ff-99fa-bdaa7eacaa6e,28216,1178,674,1084,15400,7900,163900,-448,-64,-251,1736.96,51.39,29.78
edb4580d-ebb9-485f-9b9d-ceeaa6400964,28241,-1608,591,1998,-315300,-212100,-110000,-373,241,-380,2631.91,40.61,159.82
ef7209ba-f645-4e31-9de1-981b5ee0e059,28259,319,506,594,-18200,-37000,-43600,-289,289,-432,842.99,45.2,57.77
09150527-903e-4566-89f1-bd8923b2feb0,28278,39,610,1014,8800,-5500,1200,-255,285,-447,1183.98,31.08,86.34
a85c3633-e36c-4f64-bc43-f9388e4403d5,28297,-1998,359,1966,30100,9400,310800,-301,235,-437,2825.96,45.92,169.81
6fbecce4-1616-4aab-a7f7-77c88bc34668,28316,256,-1847,1998,142200,453700,593800,-451,-93,-243,2732.94,43.02,-82.11
e6d528ea-4847-43db-b350-71c49450559c,28334,783,57,106,86800,34800,-25300,-297,-273,-270,792.2,82.31,4.16
c523439d-4ec8-4812-bf85-8bb03025b159,28359,388,589,785,32400,-10200,-14900,-271,-256,-333,1055.32,41.94,56.63
