,ticks,raw_i,raw_j,raw_k,norm_w,norm_i,norm_j,norm_k,roll,pitch,yaw
37bf9ba7-0df5-4d4f-881c-ff9629a9ef88,-18694,-3269,-3827,-8030,0.07,-0.34,-0.4,-0.85,55.26,-39.66,168.11
b46e3d1b-88be-4ee7-8018-404a11fbb96a,-18678,-4341,-6099,-5413,0.07,-0.47,-0.66,-0.58,113.51,-39.62,135.69
fb98412e-cc98-4e41-8217-4324abe14c75,-18657,-6173,-6415,-3336,0.07,-0.65,-0.67,-0.35,152.62,-32.83,100.41
a0be456d-206c-4ac4-86f7-f916f8d5b62c,-18635,-5163,-6456,-4151,0.06,-0.56,-0.7,-0.45,136.87,-35.95,117.31
4603041e-3434-405c-b601-098719dfc994,-18616,-3681,-6005,-5595,0.06,-0.41,-0.67,-0.62,105.92,-36.09,144.61
142aef0f-680a-4bb0-b211-6252253c2f1a,-18599,-1831,-3341,-7426,0.06,-0.22,-0.4,-0.89,49.45,-25.9,175.62
1a11b1e0-64b0-42fe-9bdf-fe21689d5ac4,-18581,-2721,-2269,-7818,0.06,-0.32,-0.26,-0.91,33.85,-37.33,175.62
9666260c-9d78-4208-8e8e-d07ad1126977,-18559,-3607,-312,-8089,0.06,-0.41,-0.04,-0.91,1.54,-48.12,-173.57
4b348067-81d8-4f03-9940-953caee84144,-18541,-3097,1699,-8215,0.06,-0.35,0.19,-0.92,-29.29,-37.83,-162.85
e238e54a-3417-4b05-a696-6cfdf9d332c4,-18521,-2725,3944,-8229,0.05,-0.29,0.41,-0.86,-56.4,-26.63,-158.35
df129071-e7d8-458b-9e8b-060beaa35dd9,-18503,-2786,5226,-7577,0.05,-0.29,0.54,-0.79,-74.6,-23.43,-154.34
81d3429c-c087-4fc0-970a-4b4e158a6c6c,-18484,-3856,6906,-5924,0.05,-0.39,0.7,-0.6,-107.59,-23.21,-138.74
42ad0455-dc53-4c0f-bf35-94fc502746cd,-18461,-4936,7677,-4058,0.05,-0.49,0.77,-0.41,-134.68,-18.82,-122.44
2666ad2e-bdba-4a07-aa4d-cfe9e6807f75,-18443,5172,-7903,3199,0.05,0.52,-0.79,0.32,-150.02,-24.25,-120.18
a9e0453f-25d4-4dbc-9c98-2af4e2baa1f4,-18426,5326,-7911,2848,0.05,0.53,-0.79,0.29,-154.24,-22.54,-117.32
e773cfc7-18aa-4565-813e-c36496ee1427,-18406,5402,-8144,1827,0.05,0.54,-0.82,0.18,-165.03,-16.13,-115.02
8635652a-a020-4a18-919c-49096a580fc7,-18390,-4160,8621,2879,0.05,-0.42,0.86,0.29,151.2,18.71,-133.33
15029583-0ead-4afe-b6fd-f384d739b6d5,-18370,-155,5458,7651,0.05,-0.02,0.58,0.81,70.87,4.63,176.75
fab7ea5e-29e8-49da-888a-72f4ee20f65b,-18351,2020,2135,7666,0.05,0.25,0.26,0.93,34.27,-25.77,166.31
0a7ff153-8b76-4f43-b2ac-32f2a83b7be5,-18348,1264,2284,7562,0.05,0.16,0.29,0.94,35.08,-15.79,169.45
5d2755b2-439c-4ce3-856e-28be9451fba1,-18296,269,1404,8894,0.04,0.03,0.16,0.99,18.07,-2.57,174.37
b2a9b98d-ddc8-4010-bf02-e0bb3821e461,-18276,-1683,-653,9409,0.04,-0.18,-0.07,0.98,-9.12,19.78,173.24
0ca436d7-606f-4a14-90fd-7e1bae2468d1,-18257,-2348,-1157,9646,0.04,-0.23,-0.12,0.96,-15.75,26.26,171.12
a339aca9-7664-4f98-b652-729b171611e5,-18236,2237,-880,-9355,0.04,0.23,-0.09,-0.97,12.61,26.1,-171.99
3f67e6b3-7340-4321-9070-bf3f08b31f0f,-18218,1003,-3956,-8363,0.04,0.11,-0.42,-0.9,51.41,9.06,-170.23
1dcd28b2-0d91-4f2d-8901-776cb9695b14,-18199,599,-7136,-6824,0.04,0.06,-0.72,-0.69,92.66,1.33,-171.67
1f3b1e6d-c086-46ec-ab1d-a18f1ed27b54,-18180,1751,-8066,-5595,0.04,0.18,-0.81,-0.56,111.79,7.47,-160.57
db5c8058-2280-40a9-8531-531c2f0f1de2,-18159,-2581,8672,4249,0.04,-0.26,0.87,0.42,131.64,16.84,-154.46
1b369eac-971d-4015-ab9e-94a8c0b63391,-18140,2768,-9352,-2203,0.04,0.28,-0.93,-0.22,154.27,2.68,-147.64
99c7a8c7-33e6-45f7-b134-7758fedf1867,-18121,4066,-8948,133,0.04,0.41,-0.91,0.01,179.53,-4.78,-131.11
037b7199-b47b-46fa-9c9e-0d27078e3603,-18101,5137,-7257,4148,0.04,0.52,-0.74,0.42,-137.64,-30.0,-121.27
fabb7eb0-bafe-4543-bcbb-df1b46699477,-18080,4452,-6623,6015,0.04,0.45,-0.66,0.6,-109.74,-35.93,-137.88
89d6d6fe-29f9-4064-b5ed-2b1972a7a1ca,-18061,-2505,3814,-6492,0.04,-0.32,0.48,-0.82,-67.24,-28.62,-155.39
a7aa137b-2d10-4548-9190-a39cf53fae8e,-18043,6013,5704,-4050,0.04,0.65,0.62,-0.44,-141.16,38.19,100.9
0b21d31d-0b87-4cb6-8e26-fc7a02eb5cda,-18023,7806,6063,-810,0.04,0.79,0.61,-0.08,-177.62,10.03,75.88
217e69f7-b414-4b81-b19e-7c09a94b2d3d,-18004,6582,7308,24,0.04,0.67,0.74,0.0,176.95,2.97,95.9
bb21f75e-d27c-4039-8b17-7caf32414fba,-17985,6048,7783,1560,0.04,0.61,0.78,0.16,163.11,-7.59,105.43
0dda509d-48f7-4b73-8d94-c2351cb1f79a,-17965,2567,8932,3655,0.04,0.26,0.89,0.37,137.34,-7.07,150.69
a85eae4e-8131-46ee-bdac-aae0448f0796,-17946,643,9747,1356,0.04,0.07,0.99,0.14,163.95,3.04,172.02
c562b93c-f325-463b-8a05-bda485456c7d,-17928,-209,9154,-2711,0.04,-0.02,0.96,-0.28,-146.91,3.2,-176.43
96cae77b-9094-48c7-b580-3a8d0e37b2ac,-17909,-1011,7393,-5664,0.04,-0.11,0.79,-0.6,-105.55,-4.29,-167.68
48378179-3181-4461-950f-327925228839,-17888,-2292,3974,-8142,0.03,-0.25,0.42,-0.87,-55.59,-23.4,-162.95
9bb55a4a-b5b6-41fb-b875-037cbc98c0f0,-17869,-2991,2289,-8725,0.03,-0.31,0.24,-0.92,-34.04,-34.1,-164.96
8f3a3d5d-27d2-4e4d-81ce-3509de367391,-17850,-2995,664,-9101,0.03,-0.31,0.07,-0.95,-10.82,-35.84,-172.35
be53c974-9b29-47fc-a010-88840695994d,-17829,-3342,-848,-9036,0.03,-0.35,-0.09,-0.93,10.64,-40.61,-179.79
68ce4514-8b9a-4ffd-b6a5-8de8d3c7a29f,-17813,-3770,60,-8866,0.03,-0.39,0.01,-0.92,-3.12,-45.97,-174.48
31e5c2db-0302-46ec-a420-908e8a538878,-17793,-2862,2122,-8895,0.03,-0.3,0.22,-0.93,-30.75,-32.63,-166.68
97341b75-df35-43dd-843f-f9ff4e664a14,-17771,-887,5760,-7682,0.03,-0.09,0.6,-0.8,-74.23,-6.14,-170.6
c7ba6a1f-2b4c-4ce8-aa96-254b1f286012,-17753,-439,6568,-7035,0.03,-0.05,0.68,-0.73,-86.14,-1.25,-173.69
8de0eba1-cf66-4157-9036-1c27c171c22d,-17730,-104,7301,-6160,0.03,-0.01,0.76,-0.64,-99.63,2.04,-176.64
4f810555-4977-4646-a118-d44469863797,-17711,-71,8382,-4486,0.03,-0.01,0.88,-0.47,-123.63,2.85,-177.5
f9411084-9237-4458-9884-4e6fb9c73565,-17690,-324,8825,-3532,0.03,-0.03,0.93,-0.37,-136.29,1.95,-175.01
e896af94-9503-4276-876f-20e9e6e1ae99,-17671,-547,9300,-1695,0.03,-0.06,0.98,-0.18,-159.19,2.38,-172.83
48403439-e99b-453c-9105-174e1dfccf16,-17653,-1174,9451,-32,0.03,-0.12,0.99,-0.0,-179.17,3.53,-165.81
090e41a7-10a4-44ba-9bff-88dfb37811d1,-17632,-1556,9535,1105,0.03,-0.16,0.98,0.11,167.66,5.6,-162.07
726e3a6d-f77a-4f61-93ed-2998723a35b4,-17614,-1275,9292,2269,0.03,-0.13,0.96,0.24,153.41,6.99,-166.03
c7781744-cc37-4a26-bf8b-532fa8f6946e,-17595,-821,8345,4845,0.03,-0.08,0.86,0.5,120.18,7.92,-173.32
9cd03079-9e60-44bd-a7d6-374094623f1c,-17576,-877,6941,6564,0.03,-0.09,0.72,0.68,93.65,9.74,-174.74
772b34f9-a0c9-4b9f-a461-aec54383fe23,-17559,-633,5848,7589,0.03,-0.07,0.61,0.79,75.37,8.11,-178.13
eeeea7d6-b3da-4759-9364-d6c67238566d,-17540,-61,4369,8743,0.03,-0.01,0.45,0.89,53.05,2.18,177.23
da186582-f293-4fb6-a9b8-9110e9a056da,-17519,-142,3360,9352,0.03,-0.01,0.34,0.94,39.46,2.7,177.32
6beab443-6e57-4778-94ef-a1a6b0863e46,-17498,-644,2088,9512,0.03,-0.07,0.21,0.97,24.64,8.12,178.28
91d10144-101d-425f-aee7-9c2c539a9545,-17480,-569,1590,9497,0.03,-0.06,0.16,0.98,18.87,7.23,177.77
378d5b5f-610f-4157-a1d4-abe466a05103,-17461,-1786,2172,9318,0.03,-0.18,0.22,0.96,26.54,21.35,-178.42
478fa7e2-c600-42f8-9dcf-9c467eabfbaa,-17440,-1092,3554,9189,0.03,-0.11,0.36,0.93,42.46,13.0,-178.53
0f2c3666-0e8b-40e6-9d41-63b47a3f4b56,-17421,-2352,2808,8975,0.03,-0.24,0.29,0.93,36.14,27.75,-174.36
94cf5c16-899b-40d5-860f-5e2690ac0214,-17403,-4408,5726,6841,0.03,-0.44,0.58,0.69,94.03,39.92,-142.22
79dfb117-e9ec-4eca-834f-4755ac1216c4,-17384,5199,-7534,-3965,0.03,0.52,-0.75,-0.4,137.31,21.77,-119.38
16b8b6df-6702-4098-8f26-6953aca00adb,-17363,4982,-8320,-2134,0.03,0.5,-0.84,-0.21,156.8,9.67,-120.16
47f555d0-29da-4f70-bf54-e71cd89ae49a,-17346,4842,-8536,-1439,0.03,0.49,-0.86,-0.15,163.84,5.33,-121.63
965dc6ed-b16b-4b17-849b-830593576ba3,-17329,4698,-8692,-561,0.03,0.47,-0.88,-0.06,172.75,0.26,-123.23
616c380a-bb5e-4e2d-8faa-affce41e3b7c,-17320,4589,-8741,-99,0.03,0.46,-0.89,-0.01,177.49,-2.31,-124.55
4ca76e42-9615-438b-8146-1a8ba58877b0,-17284,2704,-9332,787,0.03,0.28,-0.96,0.08,-171.97,-5.64,-148.08
e8481df9-07fd-4444-9842-8688da44f777,-17265,4431,-7799,-1909,0.03,0.48,-0.85,-0.21,157.34,8.84,-122.57
eed9a10e-b114-42d6-a648-58212171b7f0,-17245,1672,-8907,101,0.03,0.18,-0.98,0.01,-179.33,-3.35,-158.76
d4cda2ce-0daa-4db5-ae07-667b08492701,-17226,3430,-8229,-3050,0.03,0.36,-0.87,-0.32,143.45,10.81,-138.32
3fe31871-19da-486a-909a-5f09b56e67d6,-17205,3222,-6347,-6320,0.03,0.34,-0.67,-0.66,97.41,24.38,-147.66
02fd37fd-2b50-44f3-9de2-67e67a50eabd,-17186,3055,-4052,-8215,0.03,0.32,-0.42,-0.85,58.48,31.01,-158.69
5598f7ad-a393-4693-a4d3-5469902e160f,-17168,1994,-2274,-9526,0.03,0.2,-0.23,-0.95,28.53,21.58,-171.21
21feda8a-053e-4eac-8207-08f0cd1dfa9f,-17146,-1350,675,9813,0.03,-0.14,0.07,0.99,7.58,15.8,177.94
d345b088-10e6-4f28-a1e1-23b86f8953f5,-17128,-1638,-985,9543,0.03,-0.17,-0.1,0.98,-12.66,18.93,174.76
af41971a-1209-4381-9550-17c7dc94386b,-17113,-2233,-1477,9164,0.03,-0.23,-0.15,0.96,-20.15,26.13,172.1
e83d5516-d8f7-4155-814c-ddad0be812f1,-17090,-1819,-1975,9526,0.03,-0.18,-0.2,0.96,-24.77,20.06,172.41
6b69d61e-e3ef-4261-9efb-e7aa1670fd28,-17070,-1253,-1376,9822,0.03,-0.13,-0.14,0.98,-16.57,13.82,174.91
6e455547-440d-4683-a0c5-fc933105804e,-17051,-891,-196,9952,0.03,-0.09,-0.02,1.0,-2.54,10.16,176.77
2c9f49d5-e03e-44c2-b850-b406c7860a78,-17032,381,-286,9952,0.03,0.04,-0.03,1.0,-3.18,-4.46,177.14
0f9860ab-7c38-432f-81c0-4e3b9bfc3077,-17013,338,-406,9946,0.03,0.03,-0.04,1.0,-4.58,-4.0,177.19
65fa0a24-b822-4025-bca8-84b36a99784f,-16998,364,-702,9846,0.03,0.04,-0.07,1.0,-8.05,-4.42,177.35
a0fcc8aa-c322-4ead-b25e-9b189b7a1f86,-16979,-589,-312,9975,0.03,-0.06,-0.03,1.0,-3.77,6.66,176.84
a11cefaa-5188-4ee3-a965-0f0a24353d0c,-16945,3360,-1272,-9107,0.03,0.34,-0.13,-0.93,19.52,39.16,-169.84
a99b55aa-d6e0-4f49-9cda-1a2a147e6d1a,-16926,3635,-962,-8783,0.03,0.38,-0.1,-0.92,16.49,43.94,-170.13
c1d82406-1f3e-4bf0-a6ce-a1ea7939d693,-16907,3852,-81,-8137,0.03,0.43,-0.01,-0.9,3.43,50.57,-175.16
f1053805-8ec5-44ed-9a2f-1a7361d4e87b,-16889,3987,816,-7595,0.03,0.46,0.09,-0.88,-14.52,55.08,175.68
0a39613b-596a-4759-ba90-5408cffb5160,-16869,2357,1817,-8135,0.03,0.27,0.21,-0.94,-26.45,31.42,175.5
e0e365d5-f5e3-4794-960d-c56809f82747,-16849,867,3632,-8339,0.02,0.09,0.4,-0.91,-47.24,11.13,178.26
e9391982-67ac-4709-b3b1-a21189024265,-16830,-343,5603,-7902,0.02,-0.04,0.58,-0.81,-70.75,-1.66,-175.33
c6778659-a280-4fdc-b7e5-2a42a97674d8,-16810,-1712,7469,-6424,0.02,-0.17,0.75,-0.64,-100.18,-10.54,-163.0
684ac39d-f4dc-4d62-a9ad-b25a7e25f4d2,-16793,3133,-7553,4560,0.02,0.33,-0.81,0.49,-124.31,-21.44,-146.36
41241d0b-4be8-4739-952b-0be4dc0088eb,-16771,5093,-5738,3725,0.02,0.6,-0.67,0.44,-137.89,-33.66,-110.1
5adafc02-2778-474a-a42e-d4f090dfb25f,-16753,3293,-5858,7181,0.02,0.33,-0.6,0.73,-85.52,-31.18,-154.9
d1c76f3e-61a4-4faf-b402-3ab055bdf298,-16732,-1536,5633,-8001,0.02,-0.16,0.57,-0.81,-71.74,-12.87,-167.23
1c126c14-ba59-4642-b339-d9a5ec9a6d5f,-16714,1558,3169,-7197,0.02,0.19,0.4,-0.9,-48.83,21.58,173.2
2acf2b23-eec5-4d00-b164-99dd916cf67f,-16693,2900,1487,-6751,0.02,0.39,0.2,-0.9,-28.54,44.9,171.06
44639ea3-4a9d-4ba1-ae33-aef53c1f50fe,-16678,2820,1063,-7049,0.02,0.37,0.14,-0.92,-18.94,43.06,175.46
a15aaf73-46de-4179-bf17-9093e4def571,-16659,2458,117,-6666,0.02,0.35,0.02,-0.94,-1.08,40.5,-177.48
a503a533-fceb-41eb-8959-860a2fbc5f00,-16639,2888,149,-6385,0.02,0.41,0.02,-0.91,-1.66,48.7,-177.76
7bde18a8-2ed1-4618-9f10-38edd1c1fd54,-16618,3124,433,-7894,0.02,0.37,0.05,-0.93,-6.08,43.2,-179.49
36b59ee1-ec67-4a1c-abbc-59f4728b96dd,-16598,1606,2889,-8493,0.02,0.18,0.32,-0.93,-38.31,20.07,175.86
6f5de5f3-5655-4ec9-a9ac-72ec96699f40,-16578,-573,4692,-8602,0.02,-0.06,0.48,-0.88,-57.44,-4.58,-174.42
a7122aa7-e361-4418-9525-c2931da4e03d,-16559,4190,-5566,7146,0.02,0.42,-0.56,0.72,-88.09,-38.83,-146.09
3992e82f-54b4-454d-b7f3-5dbf1fbfa45b,-16540,-4101,5694,-7115,0.02,-0.41,0.57,-0.71,-89.01,-33.89,-142.92
89529c0f-3ef5-48cc-a32b-eb16dacca07c,-16519,-3893,5729,-7162,0.02,-0.39,0.57,-0.72,-87.7,-32.33,-145.19
63ff4a12-8021-4d7d-8e32-f50b1f78de6e,-16501,-3833,5726,-7159,0.02,-0.39,0.58,-0.72,-87.38,-31.94,-145.75
c7edf329-32da-4f7e-a167-d2b845ae6246,-16481,-3812,5720,-7133,0.02,-0.38,0.58,-0.72,-87.47,-31.83,-145.83
b1e55a5a-1bbb-431c-9607-01ae8b73e7f1,-16461,-3604,5743,-7161,0.02,-0.37,0.58,-0.73,-86.34,-30.25,-147.93
af925387-b03e-4d13-9703-2cf868853b78,-16446,-3507,5747,-7203,0.02,-0.36,0.58,-0.73,-85.52,-29.53,-149.03
a19c6d62-f129-4311-8ccc-726ec997cb35,-16430,-3447,5696,-7287,0.02,-0.35,0.58,-0.74,-84.04,-29.28,-149.98
d634603e-e8cb-488c-b791-01046e6b029a,-16390,-2993,5489,-7683,0.02,-0.3,0.55,-0.78,-76.87,-26.32,-155.63
708264f0-b542-407e-b4c8-f289a7895abb,-16370,-2922,5522,-7746,0.02,-0.29,0.55,-0.78,-76.4,-25.58,-156.42
214b90e5-faf6-48ee-b4aa-e915e5280fc3,-16353,-2724,5604,-7787,0.02,-0.27,0.56,-0.78,-76.12,-23.64,-158.08
26af03a9-9aa7-46e3-bc45-cbfcd72766da,-16334,-2418,5716,-7826,0.02,-0.24,0.57,-0.78,-75.88,-20.7,-160.51
9f419d13-b5e7-4e05-879e-1e5851d34b39,-16311,1988,-5895,7827,0.02,0.2,-0.59,0.78,-76.11,-19.72,-167.77
e3f6e800-d444-4d19-84c8-1775e49c7534,-16294,1645,-6038,7786,0.02,0.16,-0.6,0.78,-77.02,-16.47,-170.13
962b6ea2-a0be-4925-9886-4bc3ea012e1d,-16276,1314,-6141,7738,0.02,0.13,-0.62,0.78,-77.76,-13.41,-172.44
79d1771e-ab68-4e9f-b2fe-852873222e6c,-16254,951,-6243,7636,0.02,0.1,-0.63,0.77,-78.99,-10.12,-174.94
908a1e03-4456-4b11-a040-173cef11d2e1,-16234,618,-6315,7546,0.02,0.06,-0.64,0.77,-80.02,-7.13,-177.31
c262228a-c46c-4778-9570-02c648a8ab35,-16215,399,-6347,7483,0.02,0.04,-0.65,0.76,-80.66,-5.18,-178.9
f121a021-d78d-4885-9f08-aba60a5df485,-16196,370,-6467,7348,0.02,0.04,-0.66,0.75,-82.74,-4.9,-179.02
1d82de73-7917-4ae4-bc6a-dbcc5f8e3035,-16176,286,-6529,7268,0.02,0.03,-0.67,0.74,-83.88,-4.16,-179.61
aa27b475-557b-46dd-964b-10baafdd7017,-16159,259,-6555,7249,0.02,0.03,-0.67,0.74,-84.25,-3.92,-179.81
46ae8ec6-a4b9-4909-a269-e15064d5f8d6,-16139,182,-6449,7377,0.02,0.02,-0.66,0.75,-82.31,-3.23,179.54
69a13d15-827f-48c2-b01b-096f37e8837c,-16118,397,2766,-9535,0.02,0.04,0.28,-0.96,-32.31,5.08,-178.9
70b5a37f-c0a5-4525-94ea-5f0d5c52611f,-16099,1511,-148,-9338,0.02,0.16,-0.02,-0.99,2.28,18.33,-177.14
abdb41f2-fa69-4c25-8a9e-43f90fdedf94,-16081,1527,1073,-9713,0.02,0.15,0.11,-0.98,-12.53,17.92,-179.49
d4b62223-645c-4b35-baca-740c6185ab35,-16063,-839,-6308,6659,0.02,-0.09,-0.68,0.72,-87.36,5.88,171.01
a961e03e-13a5-4f50-b49b-7298e1f57952,-16040,-1407,-2084,9669,0.02,-0.14,-0.21,0.97,-25.12,15.29,174.06
ed1d4c56-f8a5-40a7-aee9-4c7c8be4cfca,-16021,-510,-6306,7111,0.02,-0.05,-0.66,0.75,-83.29,2.98,174.11
9bb7e134-b0c5-4314-9490-08a743abdeab,-16005,-1276,-2423,9611,0.02,-0.13,-0.24,0.96,-29.02,13.61,173.95
2f57af2a-a069-43b1-a071-92964dad36cb,-15984,-1158,-4227,8939,0.02,-0.12,-0.42,0.9,-51.39,11.01,172.01
1ad9bc5b-e8f9-471c-a4fb-56f93e1212b1,-15964,963,952,-9857,0.02,0.1,0.1,-0.99,-10.9,11.29,-178.66
8ac845bb-677d-4832-a4f7-9e1179f12b33,-15945,-1995,-418,9785,0.02,-0.2,-0.04,0.98,-5.62,22.89,176.42
7fd4cf50-6de9-4975-a417-b49c50b378e1,-15928,-1496,-6380,4134,0.02,-0.19,-0.82,0.53,-115.88,9.89,159.81
febc0dc3-4183-4653-9ea7-586956a7e288,-15906,-2291,-5891,7149,0.02,-0.24,-0.62,0.75,-82.51,19.51,159.68
46dc5617-36d3-4b03-a7f2-f13bcebcf5bd,-15886,-1625,-7536,4641,0.02,-0.18,-0.84,0.52,-118.22,8.72,160.89
ce356fa5-28dc-4eb9-a0ce-ebfe45a06427,-15868,-1450,-6886,5431,0.02,-0.16,-0.77,0.61,-104.86,9.63,163.64
bae149d6-b643-4fb5-8f04-ddfe06210d47,-15848,-1813,-6707,4587,0.02,-0.22,-0.81,0.55,-113.64,11.94,157.57
ca974106-82c0-4d11-9fbc-1a25501d0768,-15829,1501,168,-9827,0.02,0.15,0.02,-0.99,-1.63,17.4,-177.88
dc8eb64f-d9db-4129-85b6-8bc76b6a8fc4,-15810,1300,-1990,-9687,0.02,0.13,-0.2,-0.97,23.89,14.18,-174.58
e4e57960-08ae-4a6c-b18d-4ff0d32ecb3c,-15791,-1064,1141,9862,0.02,-0.11,0.11,0.99,13.1,12.42,179.07
e4170d89-e6fc-41df-9854-5473c875448d,-15771,-1201,-1068,9786,0.02,-0.12,-0.11,0.99,-12.92,13.56,176.1
9396d988-7c98-4c2d-af00-d386b7c8fd4a,-15753,-1751,-4039,8768,0.02,-0.18,-0.41,0.89,-51.18,17.59,168.93
ebc4cf54-d9c9-43b2-8c17-e2574b1af195,-15734,-2883,-6692,6660,0.02,-0.29,-0.68,0.67,-95.5,21.51,152.96
90ae2ca0-1e3b-405d-9232-7fe2d09ca084,-15713,-3806,-8441,3511,0.02,-0.38,-0.85,0.35,-140.36,13.78,136.45
7a5ab9be-ca99-4afb-9ffa-5fc87bf6c074,-15694,-4229,-8798,933,0.02,-0.43,-0.9,0.1,-169.16,2.65,128.91
5d047c24-c0e3-488b-af63-b9d935ff5dd1,-15679,-4602,-8317,-2309,0.02,-0.47,-0.85,-0.24,156.69,-14.83,125.16
616ca406-466f-4285-ac7b-902de6d58307,-15657,-5161,-7480,-3954,0.02,-0.52,-0.75,-0.4,139.52,-26.45,120.7
dcbbe957-8d16-4b63-b656-35254d3c075c,-15638,-5446,-6448,-5315,0.02,-0.55,-0.65,-0.53,122.9,-37.39,120.5
bca30646-60b3-4d23-bd23-eea92694f226,-15618,6417,6289,4369,0.02,0.64,0.63,0.44,136.98,-32.46,101.93
fc28275c-899c-40fd-92a6-d2d1918e6d56,-15596,-7852,-3640,-4944,0.02,-0.79,-0.37,-0.5,146.87,-52.71,66.51
00cc506f-b328-42df-9694-21f98ef52150,-15578,-7696,-2266,-5952,0.02,-0.77,-0.23,-0.6,140.34,-67.91,60.11
bf3d5398-ce37-4a0c-a4ca-b443a00a6e7b,-15559,6290,5104,4764,0.02,0.67,0.54,0.51,130.09,-41.08,97.9
14ffb3cd-4f24-4a57-af0c-8e636111f8a0,-15540,7603,1911,5716,0.02,0.78,0.2,0.59,139.3,-66.25,55.43
f340e106-a09f-4562-9796-fcc425475038,-15520,7637,-11,6040,0.02,0.78,-0.0,0.62,172.78,-76.6,5.54
7d082d08-c529-4977-8188-ca9e34be3809,-15501,6698,1351,5632,0.02,0.76,0.15,0.64,130.45,-72.93,60.47
b52a1503-0fa7-4e6f-802b-ef6ff7d2d5aa,-15481,5783,1656,6018,0.02,0.68,0.19,0.71,89.85,-72.45,104.56
c083e97c-4a54-4933-8c85-43f0c03e6daf,-15464,4905,-901,6607,0.02,0.59,-0.11,0.8,-28.8,-71.76,-161.73
53f6576b-3053-43b6-a8da-10834d0c9f17,-15443,4126,-3040,6504,0.02,0.5,-0.37,0.79,-67.21,-52.81,-146.29
4286cede-67f6-4fa3-9157-6dbb90372e49,-15424,2985,-3726,7051,0.02,0.35,-0.44,0.83,-62.41,-36.66,-159.96
49d498bf-162b-4adc-bd07-a91535e548f5,-15404,3804,-5481,5140,0.02,0.45,-0.65,0.61,-108.15,-35.17,-136.34
11b154dd-7f03-4bb2-9ebf-08abf30e89e9,-15384,4963,-5824,3459,0.02,0.59,-0.69,0.41,-140.27,-30.88,-110.52
d84cbd51-3776-4299-b050-059b6dd0c36f,-15368,3108,-5159,5658,0.02,0.38,-0.62,0.68,-94.22,-32.59,-148.25
b174299d-c863-44e2-832c-6bf2eb657d27,-15346,3458,-4834,6198,0.02,0.4,-0.56,0.72,-86.97,-37.05,-147.76
5aac8bed-f6bd-4ad3-88ac-7f011a975bea,-15328,2410,-3063,8302,0.02,0.26,-0.33,0.91,-42.94,-29.22,-170.69
1bc54817-3338-46b1-bdd0-b74b1c4b6f1f,-15307,-53,248,-9992,0.02,-0.01,0.02,-1.0,-2.85,-0.55,-177.82
01902087-0d7a-4113-903e-edcc49cf13b6,-15289,470,-1531,-9780,0.02,0.05,-0.15,-0.99,17.93,5.03,-177.02
5388c613-97e4-4fe3-9e39-cbafbb5da563,-15268,996,-2749,-9224,0.02,0.1,-0.28,-0.95,33.71,10.69,-174.5
b459a79f-82ae-40c9-94c7-ef65272dc316,-15249,1085,-3344,-9101,0.02,0.11,-0.34,-0.93,40.99,11.22,-173.5
a74a522e-caa9-4e64-892f-7ce6f09c87a4,-15230,-923,1131,9892,0.02,-0.09,0.11,0.99,12.96,10.77,179.06
