,ticks,raw_i,raw_j,raw_k,norm_w,norm_i,norm_j,norm_k,roll,pitch,yaw
02f86505-8b6b-419c-9a66-55a10b517a91,-18965,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
e411d64f-c7d7-4d10-a666-805c3171ba0d,-18946,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
d33ab68c-badd-4600-82a0-557b9895cec6,-18928,2508,-71,-9671,0.25,0.24,-0.01,-0.94,8.67,26.88,-148.05
48f0d3b8-0cae-48a4-9369-191431fc6a0f,-18909,2496,-94,-9672,0.18,0.25,-0.01,-0.95,6.87,27.71,-156.95
b0711f60-8a59-47b4-b829-0a360e0ccae7,-18886,2520,-105,-9668,0.14,0.25,-0.01,-0.96,5.95,28.37,-161.53
2c187018-9b3d-4c3f-8317-2ae8d748437b,-18868,2504,-69,-9664,0.12,0.25,-0.01,-0.96,4.92,28.44,-163.92
9c794aeb-6e02-4237-9f42-fdce29eb1317,-18849,2504,-132,-9675,0.11,0.25,-0.01,-0.96,5.3,28.42,-165.31
0299b564-f3de-4e7f-9f8b-444c305fc716,-18830,2213,16,-9742,0.1,0.22,0.0,-0.97,2.69,25.33,-167.26
07b2c43b-1fb1-4c0a-a9e2-97d046ca38fa,-18810,3600,1421,-9095,0.1,0.36,0.14,-0.92,-15.5,43.75,-174.37
18128da2-bf48-49b1-abce-e68c3e37d113,-18792,3852,4431,-7782,0.09,0.39,0.45,-0.8,-66.64,45.0,162.42
cdc180cf-a14a-4d73-8c21-1ca7c55da8db,-18771,2165,7196,-5581,0.08,0.23,0.77,-0.59,-107.81,23.76,163.95
c59288da-5c65-4111-a40c-2b694d42eab1,-18752,1067,7639,-5145,0.08,0.11,0.82,-0.55,-112.86,14.98,174.07
f564bc33-4625-461a-8393-46c8e7d02899,-18734,-1502,5902,-7484,0.08,-0.16,0.61,-0.77,-77.87,-8.44,-161.88
f59b91aa-8c1d-4307-8d75-92424cecf65b,-18714,-2301,873,-9437,0.07,-0.24,0.09,-0.97,-13.32,-26.17,-168.22
