,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
cf3e3115-e0ca-4e93-bf3a-1b7c3f2348ef,-18964,496,-35,898,200,800,100,204,-205,-396,1026.47,28.97,-2.23
c73cc179-133f-4c2e-b628-c239c596a38b,-18952,488,-37,886,800,-3600,-1100,204,-211,-398,1012.18,28.91,-2.39
4ebf3aa1-5f32-491e-8727-09176c2e20a3,-18927,492,-44,897,3200,-3000,600,201,-204,-399,1024.02,28.84,-2.81
5a5dd84f-723a-4c03-9e7e-a9f8f3586c53,-18908,501,-40,873,-700,400,2700,195,-211,-398,1007.34,29.93,-2.62
8219f3d6-7bef-4957-ac82-3ec62cb9f25a,-18889,486,-30,907,-1800,-900,400,200,-199,-384,1029.44,28.23,-1.89
0028e77d-e3e9-42d3-8c58-4a61b7807353,-18870,482,-33,904,-1100,100,4000,203,-195,-401,1025.0,28.12,-2.09
f164a8ee-2101-4820-8c86-d11764e548b4,-18852,494,-34,890,-1600,900,1300,207,-213,-395,1018.48,29.09,-2.19
b3d392b9-fd68-486c-86ec-c759f153ab35,-18833,411,-3,1026,22400,62100,7700,194,-190,-411,1105.26,21.83,-0.17
8c715a92-9a91-4339-b6ab-769e3e35da06,-18814,528,-46,872,163200,-372600,79000,153,-250,-380,1020.43,31.29,-3.02
c8fca035-bc29-4da5-9460-25af42ae6259,-18795,752,378,390,366600,-48500,-50600,-45,-313,-308,927.62,65.14,44.1
163192f1-fb99-4d16-8598-8deccf05ccc0,-18770,615,618,-70,135000,43600,-47100,-265,-292,-159,874.67,94.59,96.46
1fcb5a34-0a0c-4a83-b50b-47cd19a086ca,-18752,578,846,-155,-20300,27600,-187600,-342,-223,-135,1036.26,98.6,100.38
1d90b1b4-17c2-4170-85c6-129050752c57,-18733,131,1269,537,-435300,27900,-368600,-378,99,-356,1384.16,67.17,67.06
45d64722-12aa-4507-bd2b-8b07bc916dc7,-18714,-250,380,686,-235900,17500,-4900,24,246,-500,823.1,33.55,28.98
9eb33976-e23c-423a-ba52-f8f945b4db94,-18695,-1008,-377,544,-245000,156500,109100,287,418,-225,1205.87,63.18,-34.72
5bf81aee-9343-4ac5-9405-a3f4e9ca90b5,-18677,211,-404,230,79900,305800,64400,180,463,115,510.53,63.22,-60.35
1b2c4a35-5771-4c85-9406-c81ea1f1b16a,-18658,-1143,119,-1683,-247800,-187500,-124500,54,384,256,2037.92,145.67,175.96
9f3b836c-6760-4714-b1c0-f7dfe10f6202,-18639,488,-575,287,331300,269200,9000,60,477,166,806.93,69.17,-63.47
3adac719-19e6-4740-b494-28e52625bfcb,-18620,-1396,-598,-280,-52500,-214600,-48700,183,474,91,1544.29,100.45,-115.09
ee1d1e34-be80-43d3-af33-d3c4f3729d3e,-18602,102,27,665,223000,-115400,38700,219,430,-290,673.32,9.02,2.33
64526f18-12bf-4ef5-96bb-60530ba909b0,-18583,-830,-109,1043,158600,42400,34300,135,429,-336,1337.4,38.75,-5.97
87667b52-7cbf-446e-b725-ea6da1f807b5,-18564,-597,326,691,89300,-39700,21700,-7,421,-381,969.62,44.55,25.26
83381d04-a071-44ee-a2c4-26af53295a30,-18545,-440,681,743,118500,-45700,21100,-126,337,-432,1099.73,47.5,42.51
db3c1175-1c62-4373-8a3d-6a914203cf58,-18527,-97,949,472,99500,-12900,29800,-262,240,-417,1064.33,63.67,63.56
08292a1d-d507-4c8e-827c-b4f33f6ea99f,-18508,-164,963,115,102100,11500,-8700,-381,204,-336,983.61,83.29,83.19
