,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
0e56c80a-b5df-4f92-888a-45e6621d0bbf,-18489,-288,1007,-245,242600,73900,-82200,-456,238,-138,1075.65,103.17,103.67
086522d2-169e-4e7e-a5a0-b62859fb565d,-18464,-256,672,-733,151000,-45700,-76700,-394,318,116,1026.84,135.55,137.49
d5a18d8b-fd03-4234-a931-eaf39e09d115,-18445,-428,383,-904,52900,-28300,-25500,-292,387,182,1071.02,147.57,157.04
83d07850-47bf-4a2b-9b1f-357452953b09,-18427,-508,109,-764,22100,26400,-11200,-246,390,211,923.93,145.78,171.88
af417afd-1578-4076-a993-31984f30f910,-18408,-349,-1,-783,153700,157700,52000,-171,352,289,857.26,155.98,-179.93
f3444869-3c3d-4414-a9de-3afc1ec4c1fd,-18389,159,-612,-306,306600,524500,103500,212,-45,269,702.47,115.82,-116.57
a59adf65-fc96-40b3-a16c-7db090014a6d,-18370,232,-550,551,147900,568800,63900,397,-127,-270,812.36,47.29,-44.95
8e977791-52b8-4d30-81ad-fc8729ab13d2,-18352,-157,-135,1628,85600,-510300,-111000,258,-19,-458,1641.11,7.25,-4.74
ae559130-6276-4609-8d24-f67e1eab947c,-18314,-229,-471,998,29300,-67600,97900,194,-139,-467,1127.07,27.69,-25.26
c5f6bb6d-c2ba-42ca-8bd0-bdf31ac6036f,-18295,-105,155,903,154800,-142100,83400,164,-63,-507,922.2,11.71,9.74
a5d3941b-7873-48b9-97d5-72e6961c2624,-18277,-16,274,940,102200,-28700,93300,-18,-114,-504,979.25,16.28,16.25
e4cb2909-5a71-4d4d-ab06-a136679396c2,-18258,195,569,968,-4200,-24200,280600,36,-151,-476,1139.65,31.86,30.45
f1593a3a-de59-4e8a-9bdd-de91591e8df1,-18239,250,-64,965,-138900,63700,225100,261,-64,-462,998.91,14.97,-3.79
b48c62a9-de24-4308-a532-dc7ff18c82d9,-18220,-221,-695,813,-212800,243200,24900,409,198,-294,1092.17,41.89,-40.53
5bebcdcf-2b51-4e34-a0a8-d2dd9db40ec0,-18202,-232,-975,151,-229600,76600,-93700,442,145,51,1013.53,81.43,-81.2
3d935213-b639-4d77-8f5c-b1794a74da2e,-18183,-52,-896,-260,-128100,-51100,-90200,351,71,188,934.41,106.16,-106.18
77f77156-45da-48e3-a27f-fc2a7c99f7ef,-18164,96,-661,-498,-98000,68600,-31000,219,8,286,833.15,126.71,-126.99
f4ff0d3f-e4b2-4b60-bc6e-107f087caa8d,-18145,162,-552,-790,-189200,-158300,5400,59,59,344,977.27,143.94,-145.06
ced03b14-68e0-4903-9fdb-4503d277fb0a,-18127,-290,-277,-857,-77200,-270000,-37700,-85,262,325,946.19,154.92,-162.09
a0b8d87f-ca27-4c16-a6cf-dbfaa04514f3,-18102,-876,308,-306,-306100,-140400,-38600,-268,475,19,977.69,108.24,134.81
aa4958c0-6bfe-4664-ab26-8788733ea8b0,-18083,-280,601,-909,-23100,77800,135700,-355,414,-107,1125.11,143.89,146.53
d7713e38-774d-47fd-9b58-14cf5f0f0ae7,-18064,-1152,842,386,-210700,426500,-934100,-337,172,-372,1478.2,74.86,65.37
ed6fe122-f4b0-47e5-80ee-8eb0623d81ef,-18045,1566,-177,-637,-201800,113800,256600,96,-367,-57,1699.84,112.01,-164.47
f054c2e8-0829-4a49-aa91-422770b58540,-18027,1167,139,-754,41400,-231300,24900,167,-162,238,1396.33,122.68,169.55
dbfc56f0-5f70-42fc-9733-258a06d9bdce,-18008,1,-319,-1196,111000,27000,-39200,167,-139,257,1237.81,165.07,-165.07
77e17b63-226d-4d78-93cd-f5fac8e37b80,-17989,-307,-214,-820,78800,47800,-121900,168,-7,322,901.36,155.47,-165.37
75b0f5f7-5162-42ee-b5e5-8d13e4553c3d,-17970,-157,-423,-609,26900,-191700,-407100,278,38,254,757.93,143.47,-145.22
31e575cb-1d0f-497e-96d4-69a8d4967b6b,-17945,206,-256,-848,-404900,213600,-124800,-78,-148,268,909.44,158.82,-163.2
ba39350b-9e33-48c2-a784-fc464877cc15,-17933,400,400,-692,-228000,105800,-120100,-315,-178,137,893.79,140.74,149.97
592725a0-e4cc-4649-b224-f3de4f11a7d2,-17908,238,1007,22,-252100,150200,-182400,-439,-10,-233,1034.98,88.78,88.75
9bf11dfb-30de-4203-8baa-1069985d61d4,-17889,-128,1084,794,-155300,119000,-136900,-270,189,-432,1349.77,53.97,53.78
a8aea887-179f-410d-91fd-688c317a9547,-17870,-484,701,759,-95200,92400,-96600,-129,301,-444,1140.94,48.3,42.73
bb00a5b7-7dd3-48a5-bbd7-572119ba88c1,-17852,-583,286,782,-111300,37200,-69200,24,342,-446,1016.47,39.71,20.09
4900a93a-3d1c-477e-bc28-63a3914a2e46,-17833,-736,84,689,-22300,15900,-5100,162,385,-378,1011.67,47.07,6.95
bab83813-2f8e-4dd8-9db8-1c7ba76b3e32,-17814,-839,226,627,75400,-33900,52400,56,420,-377,1071.51,54.19,19.82
a6125edf-925e-4683-98fc-a5f65afb1394,-17795,-486,606,582,116600,-91800,25000,-81,339,-441,970.65,53.16,46.16
be908894-e75d-4b06-bb9e-9cecf776918d,-17777,-55,833,361,194100,-137200,87100,-349,83,-383,909.52,66.61,66.57
0fe5ddc4-5e69-40dc-9783-d5636d3da797,-17758,141,972,177,31800,-17300,18000,-414,2,-308,997.99,79.78,79.68
b3f4ee89-bf23-4fe9-a71f-6cb7ffc10350,-17733,214,995,-3,191800,-86500,154700,-436,-72,-209,1017.76,90.17,90.17
22fa6395-d11b-47c7-a62a-28d206a48c5f,-17714,331,811,-379,150500,-13500,38400,-423,-121,-38,954.42,113.4,115.05
6d824f50-6e8e-4069-8095-23b90b9ec2a0,-17695,330,695,-567,77700,-8900,0,-409,-132,42,955.73,126.39,129.21
0e0f371e-9c49-40b4-a218-77a2e0f4c3e9,-17677,478,405,-768,209700,15400,23400,-324,-156,145,991.13,140.79,152.2
abc01f2c-1803-442f-afcd-647f9acde8eb,-17658,448,108,-886,140500,-15900,-7400,-214,-162,230,998.68,152.52,173.05
70ab76b2-7d23-40d3-9649-40c4ede7ed61,-17633,289,-207,-945,26100,-29200,5300,-90,-97,299,1009.65,159.39,-167.64
fdf85ddf-6ca3-4bce-ab30-140d2214e3dd,-17614,337,-463,-751,135400,56600,57100,44,-153,268,944.43,142.67,-148.35
f946de0c-732c-4f98-8aa5-39d395db57c0,-17595,338,-844,-319,115300,1900,33400,273,-159,176,963.5,109.33,-110.7
1fe12a61-bf01-467a-b390-ebfea5af2bd8,-17577,323,-1004,255,209300,24800,8900,363,-198,12,1085.07,76.41,-75.75
5c8039c4-d041-4468-8580-ae835536b592,-17558,308,-1046,149,157200,24800,84100,399,-163,-90,1100.54,82.22,-81.89
9f525738-b4ee-42c8-baad-3ba6f26f562b,-17539,199,-948,473,94900,-17900,74900,420,-96,-222,1077.98,63.97,-63.48
30bc5539-8e0d-4a6a-9a5a-3cfa312f3325,-17520,66,-757,724,87700,25400,-4400,423,-45,-281,1049.56,46.38,-46.28
ced248fe-278a-45b4-9440-3f22a8eaba60,-17502,150,-528,831,18300,-21700,-52500,334,-129,-365,995.91,33.45,-32.43
f11dadbc-8d17-42fb-8eae-b7309f8aa3aa,-17483,227,-523,945,-39900,-34300,1800,290,-144,-405,1103.67,31.1,-28.96
03e14f84-e415-47bf-b65c-d4633b87c674,-17464,150,-317,719,-59900,-143200,221100,316,-222,-309,799.97,26.0,-23.79
68c64d5c-e10e-4653-8e63-03052c0c1d23,-17439,-388,-1537,513,-23500,96300,3400,426,-105,-209,1666.16,72.07,-71.54
8d6bf789-1163-49af-9d26-68e38c2f494d,-17420,1294,141,1316,-53300,-65600,-58500,307,-259,-225,1850.99,44.69,6.12
69bf98b2-f76d-4e02-b8a3-1ce4c9092324,-17402,406,-726,-383,-288300,-485300,149200,296,-67,211,915.75,114.72,-117.81
609624c3-66e3-45e7-a912-c2a9a06c3f23,-17383,32,-611,-730,-100300,-63500,43900,150,169,317,952.49,140.03,-140.07
f2177e17-56c2-4112-bda6-1fc3a1082abc,-17364,-53,-505,-913,-80200,-42100,22600,30,244,340,1044.7,150.92,-151.05
97a9b7bb-a955-490a-b514-822931c0f0dc,-17345,-144,-375,-766,-37900,-26300,10700,-36,270,329,864.94,152.33,-153.92
7fa13b5f-8276-4399-9729-6da22cf14507,-17333,-202,-311,-995,-44000,-21000,17100,-79,288,320,1061.86,159.56,-162.64
bc957394-9e3c-4d84-b426-3229153463cb,-17320,-322,-209,-1022,-64900,-77000,19400,-120,322,305,1091.72,159.41,-168.44
2170ba9f-5b93-43a2-b316-019f0986a5db,-17283,-1998,1997,-1734,26100,-256400,406500,-246,322,257,3314.63,121.54,130.97
f56ca163-6fe7-41e8-b64d-85203e24d732,-17264,1998,-1998,1998,-89400,-136800,-70000,224,373,194,3460.64,54.74,-45.0
18831d32-3390-484e-863c-b057d3966efe,-17245,-1956,1997,-1323,27500,-133400,-438400,-64,466,203,3092.62,115.33,123.52
f1191966-e7b9-44e2-8bef-fca89c9c69f0,-17227,-872,41,-1610,27800,328500,78400,230,300,238,1831.44,151.53,178.54
f5ea78d2-b037-4764-982f-9fde602a7a38,-17208,606,-741,1047,417200,43100,-157300,457,160,21,1418.64,42.44,-35.29
ab9cce44-b983-469c-b393-5684732ac804,-17189,335,-1030,544,58300,6500,-105000,453,18,-227,1212.05,63.33,-62.16
a6ad71a6-5202-4af3-8220-ade32e3147a6,-17170,220,-291,967,124200,56000,-93400,334,-90,-387,1033.52,20.67,-16.75
e179e694-82e3-4d63-96ed-c225cb12d187,-17152,177,-182,922,48700,-300,-62800,203,-118,-471,956.31,15.39,-11.17
9d3170d8-8838-4734-a69e-f357b52597d7,-17133,73,226,1141,62100,-10000,-93500,41,-127,-503,1165.46,11.76,11.2
08f3f8ef-8a07-4c96-8a16-3aaf218a96f7,-17114,318,421,814,38000,-74500,26800,-81,-189,-446,970.03,32.95,27.35
f3e69816-9b7b-432e-9e58-9012f22d0567,-17089,175,494,880,29100,34700,22400,-51,-150,-486,1024.24,30.78,29.31
19d0653a-d231-4abd-b084-43c5cdcb1c2b,-17070,215,29,1088,-93000,42400,80900,69,-108,-515,1109.42,11.28,1.53
d06b04f2-8919-4e15-afef-01ddc2ce8890,-17052,22,-9,829,-91400,128800,4400,164,-64,-497,829.34,1.64,-0.62
097d28c5-79ea-4e85-a29b-2fab435eee2e,-17033,-3,175,980,-4900,15100,-32300,149,23,-516,995.51,10.13,10.12
e46b5fce-6181-49e5-bc72-2222e114fb39,-17014,-42,-408,1401,159600,47000,-135000,138,12,-522,1459.8,16.32,-16.24
29b3ca76-c963-45bb-b327-5f41e86fedaf,-17002,-108,51,1132,-6700,-15800,-70800,104,-9,-533,1138.28,6.02,2.58
7bbf6cea-6ae9-4215-b639-ce9ff6f85dd5,-16983,-130,-68,872,-76700,-303900,286400,159,-22,-512,884.26,9.55,-4.46
df24ee2b-645d-4065-bc32-bbbc8814c587,-16945,292,-451,640,-18900,78000,-56400,363,-120,-329,835.62,40.01,-35.17
d79689a3-fb78-4ba6-a36d-f2abddb9e464,-16927,599,-464,736,107400,-89800,84400,369,-96,-339,1056.31,45.83,-32.23
706143c5-7afc-4199-86ac-0fc4c33cab31,-16908,569,-374,721,88900,-92300,17700,337,-81,-390,991.7,43.36,-27.42
a7e6eeee-e8db-432b-b93d-7bcd665eef6a,-16889,797,-58,637,93000,-18900,-5900,287,-99,-431,1021.93,51.44,-5.2
34a6c93c-113a-4535-9481-694dd14bed78,-16870,573,-18,891,105500,44400,-50700,143,-75,-513,1059.5,32.76,-1.16
5555b3dd-2739-453a-b363-d7294191b354,-16852,402,448,730,126100,15100,-120000,-100,-48,-513,946.15,39.51,31.54
c175cae6-8973-43eb-a291-d1fe6d63e1d2,-16833,183,903,378,207600,-44000,-135500,-343,-3,-396,995.88,67.69,67.29
c9964c3a-aba7-4a2b-9b28-799055a75e41,-16814,-163,919,-117,243800,-99800,-195500,-484,136,-186,940.65,97.15,97.26
6ea75b4c-210a-4702-8240-21fe7d7b17a1,-16795,-737,781,-474,101000,-80000,-277900,-372,430,-53,1173.8,113.82,121.25
4d03a2d0-6cb6-440e-8754-e7d3a7fa33f2,-16777,-902,-280,-274,-44900,-75800,-216100,-87,564,-122,983.4,106.18,-134.38
92896373-0e66-4947-80e4-4cc4b8ab34bb,-16758,-937,592,-135,-241000,-34100,493200,-291,438,-252,1116.54,96.94,102.85
6c7f2396-3fec-4a22-9628-546a10c43da8,-16733,-37,864,365,-193600,35400,382200,-367,112,-396,938.66,67.12,67.1
bb436797-e442-4115-8919-cb35221316f1,-16714,670,-130,981,-107800,-14400,189400,-21,-69,-525,1195.06,34.83,-7.55
60eda939-dee7-4833-86c7-dd9c16d69b48,-16695,801,-166,1045,-85600,19600,52700,162,-40,-510,1327.1,38.05,-9.03
c30a6273-1d7a-44d1-bbab-fd01d26fc588,-16683,793,325,1163,-17100,31200,-12600,182,-25,-509,1444.66,36.39,15.61
d3c520eb-5d17-4e43-8dac-127c38cff828,-16658,-14,-406,686,-22500,-43100,252200,213,99,-504,797.26,30.63,-30.62
5da61df9-80f9-4bff-8980-4207d232ae75,-16639,417,-266,762,-61300,24500,-213200,231,65,-504,908.45,32.99,-19.24
236240fb-b2e1-4555-b585-3855e8c53cbc,-16620,705,-508,1087,8900,-16300,-12800,248,-33,-480,1391.64,38.64,-25.05
705a4a46-348d-4c13-9319-a919dacd51fb,-16602,465,196,710,201300,-2300,-117100,-10,-79,-521,871.06,35.4,15.43
1713f399-2ff4-4f5e-a1d0-b4ce55d53250,-16583,1,273,676,128300,66200,-187100,-231,0,-471,729.04,21.99,21.99
d0808580-167b-4bf2-9367-71ddd2d9c118,-16558,-811,608,-361,-22000,128800,20500,-321,427,-207,1075.97,109.6,120.7
42282ebf-7ec5-42f8-8431-75e85cc0b8bc,-16539,-490,952,-23,-41900,6200,61800,-360,372,-215,1070.95,91.23,91.38
73fbcfdc-eb3f-4724-88bc-0f20af02eebf,-16520,-404,878,15,-5700,17000,13300,-379,358,-221,966.6,89.11,89.02
951eee2d-5429-4e49-813d-e4c8490e2b31,-16502,-404,943,-23,-7400,7600,10200,-376,348,-222,1026.15,91.28,91.4
f73e45a5-5f9e-4a4c-a850-e7b2afd57f6c,-16483,-425,889,-15,-5100,6700,10700,-385,336,-230,985.48,90.87,90.97
4f793f30-dce9-418c-85b4-db58525edcd5,-16464,-307,897,55,-13100,2500,5800,-393,313,-233,949.68,86.68,86.49
0e9a7c81-ecc6-4034-a9d5-6f559e08b607,-16445,-360,976,31,-8600,-6200,-4100,-405,307,-240,1040.74,88.29,88.18
a6870820-e746-4810-9df5-690b5b34933a,-16433,-360,957,34,-9500,-7200,0,-393,309,-243,1023.04,88.1,87.97
614a01d6-290f-404f-81de-045065909848,-16389,-318,988,192,-16100,-13300,-1500,-366,289,-308,1055.52,79.52,79.0
6625a85f-e778-4c37-9388-82702b40467f,-16370,-459,806,167,6200,-28600,-17000,-360,294,-306,942.45,79.79,78.29
26917283-2b83-458a-8a86-71b0f17a3eab,-16358,-419,815,189,8600,-32100,-13100,-361,279,-326,935.69,78.35,76.94
bd2f66aa-d832-46f1-97b1-83de6bd33303,-16339,-359,958,246,-1100,-35900,9300,-375,261,-330,1052.22,76.48,75.6
45a5e40b-22bf-4100-a10f-69f9f88ed2a0,-16314,-368,941,222,18900,-45900,-7400,-387,234,-338,1034.5,77.61,76.73
760a3a6c-d397-4d9e-9601-b6fa3094fd90,-16295,-332,916,265,13800,-37300,600,-390,198,-338,1009.71,74.78,73.86
f135feec-ac45-4984-8c10-64dcd6db03eb,-16277,-342,996,209,14200,-45000,-12600,-393,175,-341,1073.62,78.77,78.15
f9da6ee4-ee9d-489e-ba8b-732fc13122b5,-16258,-317,895,264,22000,-39100,-11400,-400,156,-320,985.5,74.46,73.57
8efe6ade-583c-48ca-a615-82f25e556e82,-16239,-251,986,306,16100,-34800,-6100,-424,133,-330,1062.47,73.26,72.76
35c05e41-f6df-4e8f-a4be-2b257ffbd84d,-16220,-266,889,306,2100,-19700,9500,-420,118,-326,977.09,71.75,71.01
dd2a49d5-2fb4-40b0-8be8-ea60562724f1,-16202,-333,885,224,1400,-1000,7900,-427,109,-308,971.75,76.67,75.8
53d66078-a834-4f46-8d29-c6897cd4a55d,-16177,-256,930,255,-2900,-5800,8100,-421,96,-291,997.73,75.19,74.67
abefea42-cc42-4ea4-83a7-b1452ec714c2,-16158,-303,994,165,5800,-3500,1700,-435,94,-284,1052.17,80.98,80.58
8076f841-a712-45cc-bd17-39a2bb3f27ae,-16139,-305,1109,40,-49000,2200,40700,-430,84,-300,1150.87,88.01,87.93
5a77d0d6-69b9-45cf-8ff8-589597970d8d,-16120,-275,-3,498,-379700,82100,355600,-58,-12,-528,568.89,28.91,-0.35
df605b58-f9dc-49bd-a949-107ca35c61e9,-16102,339,-342,850,-157200,-16400,106700,251,14,-483,976.93,29.53,-21.92
5d20e74b-eb5f-4ef1-ae82-23a9cfac5a70,-16083,196,-333,1006,409900,-249600,-540800,149,-84,-504,1077.66,21.01,-18.32
b18c2039-71a5-40a8-8a7f-d4ce9486782f,-16064,-1116,1367,-903,-243500,150100,101500,-453,71,-261,1982.31,117.1,123.45
3863733a-9744-4185-8a25-1e2feae9b356,-16045,247,-614,1144,-305200,90300,281900,53,-126,-495,1321.64,30.05,-28.22
7d32b972-0a2f-42cd-8d9b-212fdbccae9a,-16027,-338,1680,-512,360700,104500,-416000,-397,-13,-324,1788.52,106.63,106.95
8d8df07c-cb84-4849-a3fc-d94947c5f5c2,-16008,60,-108,559,-374900,-66300,278100,-12,-117,-503,572.49,12.46,-10.93
6ee6bff7-2ee9-43c5-9a15-1a58242229fc,-15983,40,1951,-435,30600,233500,-14300,-205,-73,-461,1999.31,102.57,102.57
f74dba9a-855a-45d0-a8cd-dae87112833b,-15964,-143,-1159,1109,-345800,-128700,283200,194,-40,-492,1610.47,46.48,-46.26
6273e8e7-8c7a-4f95-9a9e-444567712731,-15945,448,54,936,389400,-57600,-723300,140,-175,-459,1039.09,25.74,3.3
8bdb452d-9b38-421e-93e1-f0cf3f20baeb,-15927,-351,701,202,436800,24400,-466700,-456,291,-53,809.57,75.55,73.93
bfd1300d-e520-4b75-992c-91198756ef28,-15908,569,-182,1998,-66500,370700,112000,-366,-133,-290,2085.4,16.65,-5.2
69a1ba89-2575-4200-a247-79efefa12fa0,-15889,-1220,-328,-815,-420100,2600,434400,-493,126,-26,1503.4,122.83,-158.08
c5641c7f-5695-4e65-a957-4be37bd1b299,-15870,883,215,112,346500,295500,-444300,-471,18,-171,915.67,82.97,62.48
c8429a58-cb70-49db-8167-c78f03f827ec,-15852,-533,-514,-671,-308600,-69900,558800,-460,292,-9,999.26,132.18,-142.55
7a8d11e6-ab5c-46bc-a0ae-52f46f8282ad,-15833,1128,106,684,-343400,273400,578200,128,-136,-474,1323.43,58.88,8.81
f1c77a25-78f9-4972-acfd-0fa511d70842,-15814,443,-416,1149,-66100,86100,-118000,342,-48,-377,1299.81,27.87,-19.9
8c662383-c329-4a20-8244-d3642099f333,-15795,387,-291,1105,137300,22300,-108300,296,-94,-411,1206.43,23.66,-14.75
3926fa97-c6a2-4b2f-a088-017a3fbc9fd9,-15770,262,162,902,172100,-10200,-58100,41,-142,-482,953.15,18.86,10.18
e19958ba-e319-46c0-967a-9c82e1d2616a,-15752,170,737,445,273700,-76900,3200,-264,-172,-375,877.55,59.53,58.88
3ae34df5-e9e1-441b-a781-0957accca232,-15733,292,968,-293,273000,-63200,-20900,-396,-174,-105,1052.68,106.16,106.84
13315e55-fd72-4667-ad90-9b2fb283f1b4,-15714,155,616,-744,143500,-91900,-25200,-354,-130,152,978.27,139.51,140.38
fe666339-8360-469e-98af-b64c9c4b683c,-15695,-33,480,-861,189000,-55200,-46600,-207,3,314,986.31,150.8,150.86
fa141a95-f5ae-41f7-b9c1-05466621ffd6,-15683,-355,-190,-916,271700,-103600,-15800,15,135,355,1000.59,156.27,-168.28
c0178cf9-ba05-40f9-b29d-d85224d86774,-15658,-639,-747,-473,179600,18100,50600,264,172,269,1090.9,115.7,-122.34
e2a1449d-612b-49d7-8fed-63d312183fd4,-15639,-557,-795,-488,12500,157300,-260600,366,196,166,1086.47,116.69,-121.54
96ff9543-6a0e-4806-af2d-d33bdf359a0e,-15620,-519,-1046,-488,-100,-198700,331400,376,108,175,1265.55,112.68,-115.01
e3dc9cba-5401-4a94-b444-939dfdcafa36,-15595,-1030,496,386,133300,-276700,307500,279,433,85,1206.61,71.34,52.11
0dca1542-0b81-4231-bc8b-6598047a5153,-15577,-937,-152,269,70600,61000,-425100,349,406,6,986.63,74.18,-29.47
1a6fa522-5cde-419b-9b10-6126d3708533,-15564,1998,-122,-1747,182700,-28700,-422100,466,-24,-38,2656.86,131.11,-176.01
5b5680d3-1a34-468a-a030-9e6821b2b565,-15539,-651,177,1050,173100,212800,-591100,433,295,-132,1248.05,32.72,9.57
cd44bcff-5ea6-455f-9bbd-765a954b08fb,-15520,-1998,1997,-1879,-44400,155100,95200,240,484,-161,3392.74,123.63,133.26
64fab027-4413-417c-bfa0-5386fa305e55,-15502,108,911,627,-167000,-376100,614300,357,306,-297,1111.18,55.65,55.46
2b2b4a77-3e8a-4761-9882-53aed2f33bd7,-15483,1893,-698,906,166300,98400,-340400,363,175,-369,2211.67,65.82,-37.61
6da47325-01cf-4aa1-aae0-9643e7782507,-15464,-1106,-362,197,138800,-56800,51300,137,288,-464,1180.29,80.39,-61.45
b3720909-a417-48b2-a074-ceb04e90be31,-15445,-863,44,828,24100,-19900,-8800,-54,372,-431,1196.78,46.22,3.04
65be0e8f-9aa0-44d5-b899-0447f1c0c6d5,-15427,-782,283,616,8800,4200,7700,-186,292,-450,1034.92,53.47,24.67
2ca85802-84d1-4e46-a6dd-fef5cd74cb84,-15408,-952,410,143,109700,150700,-118000,-222,442,-284,1046.35,82.15,70.77
c9a5f7a0-4de3-44d8-9ada-c03034300cd8,-15389,-868,-3,10,-99100,82800,-174300,-142,538,-146,868.06,89.34,-16.7
4dc84e30-a7ce-4f72-bda0-dd6aa43a7c8b,-15370,-970,263,265,-7900,-231200,268500,-231,432,-305,1039.37,75.23,44.78
21f7e8d5-927d-463b-a392-c572eca7908e,-15352,-1033,2,187,-27100,108200,-159600,-264,355,-374,1049.79,79.74,0.61
8ff3cdd0-082c-44cd-b1a2-edd4ec1e2774,-15333,-799,635,615,-170300,-175200,138700,-165,276,-470,1191.58,58.93,45.92
b1320f6e-dd42-4750-8413-b9e25a70fd91,-15308,97,-151,1024,-137900,35700,30200,233,-12,-498,1039.61,9.94,-8.39
6d341500-23c5-4603-9bab-ccf6e3432c50,-15289,240,-427,894,-101800,-50500,92800,376,5,-401,1019.39,28.72,-25.53
8b1cfbc9-5698-4ab8-ab37-2364b5856da2,-15270,192,-626,841,-96100,-18400,51300,447,72,-314,1065.84,37.9,-36.66
ac620468-506d-4096-9d76-50e73febac94,-15252,145,-921,747,-15100,43600,-34300,480,78,-258,1194.69,51.3,-50.96
fc284dfd-8a34-402b-ac09-ac86414c912d,-15233,344,-906,1031,262000,32100,-252500,333,-81,-417,1414.97,43.23,-41.31
21ef5714-a3b5-49ab-80cd-6a402b9a1efa,-15214,-275,396,678,269200,165500,-469500,-283,36,-471,831.94,35.42,30.29
9a57733c-9f8d-45a5-90e2-fb8b77e63862,-15195,-859,243,238,88000,225400,-6200,-378,390,-218,923.89,75.07,45.6
c9966ce8-8d84-42b1-8bff-e9924aa32c39,-15177,-755,563,-224,9300,90900,25900,-457,324,-104,968.08,103.38,111.7
b1bec965-99e3-4588-b03a-b2b6ddd33e01,-15158,-738,517,-428,237400,-126700,-101000,-444,367,-5,997.56,115.41,129.62
2e789ab2-0bff-4904-8a41-273b20134750,-15133,-862,83,-430,146600,26700,118600,-315,400,199,966.87,116.41,169.07
cd4e32d5-4f75-4580-9ce0-9ecc5fdf8b05,-15120,-864,124,-473,118600,8300,154700,-306,328,283,992.77,118.45,165.31
b99ccae8-90ae-4c51-8b1c-50e2872983c5,-15102,-612,-164,-1103,176100,-80900,-2100,-94,364,352,1272.03,150.13,-171.54
